ID,Username,Lastname,Model,Weight,Phone
998,fassss,asdddd123,Square,20,123124124
1007,BBBBaz,dDA,Square/Wavy,10/20,125412
1012,Fhasez,Zafas,Wavy,12,12314152
1013,วัชรนนท์,เกิดแก้ว,Square/Wavy,15/5,031872124
1018,ASdsad,sdaasdsa,Square,12,14124124
1019,Kkkaa,aa,Square/Wavy,15/15,05266584
1021,fdgsdfds,awdqsdq,Square,10,4124123
1023,Hello,World,Square/Wavy,5/5,99999999
1025,mmmmmnnn,bnnbbbb,Square/Wavy,10/10,00000000
1030,ASD,SS,Square,2,222222
1051,hhh,jjj,Square/Wavy,10/2,0619326502
1052,KFDDD,ASQQQ,Wavy,142,151223333
1053,qQQ,EQQ,Square/Wavy,12/31,131312
1064,qwrqwq,wweq,Square,1,125122
